ID,Path,Element,Parent Path,Level,Root Element,Declared In,Declaration,Data Type,Type Source,Content,Min Occurs,Max Occurs,Required,Repeatable,Enumeration Count,Enumerated Values,Definition
44,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers,Identifiers,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,local,efg:IdentifiersType,EFG named complexType,complex,0,unbounded,N,Y,0,,
45,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers/Person,Person,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers,5,EarthScienceSpecimen,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
46,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers/Organisation,Organisation,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers,5,EarthScienceSpecimen,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
47,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/StratigraphicMeasurementsOrFacts,StratigraphicMeasurementsOrFacts,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution,4,EarthScienceSpecimen,BiostratigraphicAttributionsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container element for multiple measurements (e.g. thickness, dip etc.) or facts (e.g. this bed was first identified by Charles Moore as the Reptile and Fish Bed from which he obtained Nothosaurus). This element contains the standard schema complex type MeasurementOrFact."
48,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/StratigraphicMeasurementsOrFacts/StratigraphicMeasurementOrFact,StratigraphicMeasurementOrFact,EarthScienceSpecimen/UnitStratigraphicDetermination/BiostratigraphicAttributions/BiostratigraphicAttribution/StratigraphicMeasurementsOrFacts,5,EarthScienceSpecimen,BiostratigraphicAttributionsType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Container for single instance of complex type MeasurementOrFact
49,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations,MagnetostratigraphicDeterminations,EarthScienceSpecimen/UnitStratigraphicDetermination,2,EarthScienceSpecimen,StratigraphicAttributionsType,local,efg:MagnetostratigraphicDeterminationsType,EFG named complexType,complex,0,1,N,N,0,,"Container for details of any magnetostratigraphic evidence cited to support the dating of rocks. Magnetostratigraphy uses a range of readings over a sequence of rocks to provide a pattern that is correlated with known dated sequences. It includes its own series of divisions including superchrons, chrons and subchrons."
50,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,MagnetostratigraphicDetermination,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations,3,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,Single record of magnetostratigraphic dating
51,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/PolaritySuperchron,PolaritySuperchron,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,largest division of magnetostratigraphic terms
52,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/PolarityChron,PolarityChron,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Reference to numerical scheme for labelling time divisions based on magnetic anomalies and reversals
53,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/PolaritySubchron,PolaritySubchron,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Any named subdivision of a Polarity Chron
54,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/MagnetostratigraphicDetail,MagnetostratigraphicDetail,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text describing the use of magnetostratigraphic correlation.
55,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/AnalysisDateTime,AnalysisDateTime,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,When the analysis was carried out
56,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/AnalysisDateTime/ExactDate,ExactDate,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/AnalysisDateTime,5,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,abcd:DateTime,ABCD 2.06 (external),complex (ABCD),0,1,N,N,0,,Uses DateTime element from ABCD
57,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/AnalysisDateTime/DateText,DateText,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/AnalysisDateTime,5,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text to allow for vague dates or description of analysis period.
58,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/Certainty,Certainty,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
59,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/DatingQualifier,DatingQualifier,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
60,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/Identifiers,Identifiers,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination,4,EarthScienceSpecimen,MagnetostratigraphicDeterminationsType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
61,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/Identifiers/Person,Person,EarthScienceSpecimen/UnitStratigraphicDetermination/MagnetostratigraphicDeterminations/MagnetostratigraphicDetermination/Identifiers,5,EarthScienceSpecimen,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
